domain,dataset,model,variant,path_role,seed,status,train_loss,eval_loss,primary_metric,metric_name,direction,accuracy,auc,mark_mrr,mrr,support_mrr,support_ap,support_auc,support_attention_mass,distractor_attention_mass,support_attention_ratio,support_warrant_mass,distractor_warrant_mass,support_mass_ratio,joint_nll,mae_time,rmse_location,gate_mean,warrant_logit_mean,edge_warrant_gate_mean,edge_warrant_attention_entropy,inference_native_primary,inference_g1_primary,inference_g1_delta,warrant_tail_mass_mean,warrant_active_blocks,warrant_replacements,metric_path,key_value_item,failure_bottleneck,warrant_path,elapsed_sec,output_dir
tkg,gdelt,xERTE,correct_path_warrant,metric_defining_path,7,completed,8.417494,8.711327,0.11752,mrr,higher,0.0835,,,0.11752,,,,,,,,,,,,,0.971151,3.50581,,,,,,1.0,2.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.32459,experiments/path_localization/outputs/tkg/gdelt/xERTE/correct_path_warrant/seed_7
tkg,gdelt,xERTE,shuffled_pairing,query_item_pairing_control,7,completed,8.417494,8.765232,0.114359,mrr,higher,0.081,,,0.114359,,,,,,,,,,,,,0.971151,3.50583,,,,,,1.0,2.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.337834,experiments/path_localization/outputs/tkg/gdelt/xERTE/shuffled_pairing/seed_7
ctdg,lastfm,DyGFormer,base,no_warrant,7,completed,0.442726,0.60753,0.787479,auc,higher,0.721163,0.787479,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,48.887338,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/base/seed_7
ctdg,lastfm,DyGFormer,generic_qk_warrant,weak_path_generic_attention,7,completed,0.449132,0.60069,0.790601,auc,higher,0.717806,0.790601,,,,,,,,,,,,,,,,12.390078,,,,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,55.612029,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/generic_qk_warrant/seed_7
ctdg,lastfm,DyGFormer,shuffled_pairing,query_item_pairing_control,7,completed,0.427164,0.869304,0.638553,auc,higher,0.578959,0.638553,,,,,,,,,,,,,,,,10.329576,0.999995,2.585047,,,,,4.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,60.598295,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/shuffled_pairing/seed_7
ctdg,lastfm,DyGFormer,base,no_warrant,17,completed,0.444157,0.608858,0.784689,auc,higher,0.712313,0.784689,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,48.990338,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/base/seed_17
ctdg,lastfm,DyGFormer,generic_qk_warrant,weak_path_generic_attention,17,completed,0.442596,0.592807,0.790366,auc,higher,0.718035,0.790366,,,,,,,,,,,,,,,,12.660502,,,,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,55.599493,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/generic_qk_warrant/seed_17
ctdg,lastfm,DyGFormer,shuffled_pairing,query_item_pairing_control,17,completed,0.423302,0.859186,0.638018,auc,higher,0.597955,0.638018,,,,,,,,,,,,,,,,10.781475,0.999998,2.609274,,,,,4.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,60.671754,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/shuffled_pairing/seed_17
ctdg,lastfm,DyGFormer,base,no_warrant,37,completed,0.451467,0.612914,0.785978,auc,higher,0.713763,0.785978,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,48.994251,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/base/seed_37
ctdg,lastfm,DyGFormer,generic_qk_warrant,weak_path_generic_attention,37,completed,0.45228,0.5971,0.790011,auc,higher,0.719713,0.790011,,,,,,,,,,,,,,,,10.15844,,,,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,55.869095,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/generic_qk_warrant/seed_37
ctdg,lastfm,DyGFormer,shuffled_pairing,query_item_pairing_control,37,completed,0.432241,0.869645,0.636367,auc,higher,0.576823,0.636367,,,,,,,,,,,,,,,,10.711025,0.999997,2.202578,,,,,4.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,60.692318,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/shuffled_pairing/seed_37
rag,hotpotqa,FiD,base,no_warrant,7,completed,0.807573,2.302574,0.557562,support_mrr,higher,,,,,0.557562,0.543397,0.560006,0.25046,0.74954,0.25046,0.25046,0.74954,0.25046,,,,1.0,0.0,,,,,,,0.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,78.48865,experiments/path_localization/outputs/rag/hotpotqa/FiD/base/seed_7
rag,hotpotqa,FiD,generic_qk_warrant,weak_path_generic_attention,7,completed,0.807542,2.303742,0.558031,support_mrr,higher,,,,,0.558031,0.543792,0.560108,0.250136,0.749864,0.250136,0.229795,0.686444,0.250925,,,,0.89595,0.860097,,,,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,76.214262,experiments/path_localization/outputs/rag/hotpotqa/FiD/generic_qk_warrant/seed_7
rag,hotpotqa,FiD,correct_path_warrant,metric_defining_path,7,completed,0.807976,2.304843,0.559334,support_mrr,higher,,,,,0.559334,0.544759,0.560394,0.250775,0.749225,0.250775,0.22956,0.68233,0.251836,,,,0.891566,0.788874,,,,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,76.543002,experiments/path_localization/outputs/rag/hotpotqa/FiD/correct_path_warrant/seed_7
rag,hotpotqa,FiD,shuffled_pairing,query_item_pairing_control,7,completed,0.807976,2.306197,0.559068,support_mrr,higher,,,,,0.559068,0.544252,0.560377,0.250775,0.749225,0.250775,0.22956,0.68233,0.251836,,,,0.891566,0.788874,,,,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,75.949761,experiments/path_localization/outputs/rag/hotpotqa/FiD/shuffled_pairing/seed_7
tkg,gdelt,xERTE,open_path_no_gate,metric_path_open_g_equals_one,7,completed,8.330027,8.721527,0.116489,mrr,higher,0.081,,,0.116489,,,,,,,,,,,,,1.0,0.0,,,,,,1.0,0.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,465.003394,experiments/path_localization/outputs/tkg/gdelt/xERTE/open_path_no_gate/seed_7
ctdg,lastfm,DyGFormer,open_path_no_gate,metric_path_open_g_equals_one,7,completed,0.463736,0.490603,0.851001,auc,higher,0.766,0.851001,,,,,,,,,,,,,,,1.0,0.0,1.0,2.265538,,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,12.251381,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/open_path_no_gate/seed_7
ctdg,lastfm,DyGFormer,open_path_no_gate,metric_path_open_g_equals_one,17,completed,0.471544,0.485148,0.847547,auc,higher,0.75925,0.847547,,,,,,,,,,,,,,,1.0,0.0,1.0,1.945991,,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,9.167374,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/open_path_no_gate/seed_17
ctdg,lastfm,DyGFormer,open_path_no_gate,metric_path_open_g_equals_one,37,completed,0.497003,0.478361,0.861151,auc,higher,0.7785,0.861151,,,,,,,,,,,,,,,1.0,0.0,1.0,2.005275,,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,9.140077,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/open_path_no_gate/seed_37
ctdg,lastfm,DyGFormer,scalar_gate,metric_path_query_scalar_gate,7,completed,0.466066,0.491968,0.850978,auc,higher,0.76075,0.850978,,,,,,,,,,,,,,,1.0,0.0,0.995621,1.51753,,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,10.787683,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/scalar_gate/seed_7
ctdg,lastfm,DyGFormer,item_only_gate,metric_path_item_only_gate,7,completed,0.468961,0.500447,0.845226,auc,higher,0.7545,0.845226,,,,,,,,,,,,,,,1.0,0.0,0.901927,1.953942,,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,9.140868,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/item_only_gate/seed_7
ctdg,lastfm,DyGFormer,normalized_gate,metric_path_normalized_query_item_gate,7,completed,0.468609,0.459698,0.862645,auc,higher,0.79325,0.862645,,,,,,,,,,,,,,,1.0,0.0,0.117804,2.343064,,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,9.439293,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/normalized_gate/seed_7
ctdg,lastfm,DyGFormer,attention_adapter,metric_path_attention_reweighting_control,7,completed,0.468609,0.459698,0.862645,auc,higher,0.79325,0.862645,,,,,,,,,,,,,,,1.0,0.0,0.117804,2.343065,,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,9.458694,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/attention_adapter/seed_7
ctdg,lastfm,DyGFormer,scalar_gate,metric_path_query_scalar_gate,17,completed,0.473427,0.481403,0.847991,auc,higher,0.7625,0.847991,,,,,,,,,,,,,,,1.0,0.0,0.997198,1.418802,,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,10.770869,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/scalar_gate/seed_17
ctdg,lastfm,DyGFormer,item_only_gate,metric_path_item_only_gate,17,completed,0.476461,0.48598,0.843732,auc,higher,0.7605,0.843732,,,,,,,,,,,,,,,1.0,0.0,0.943394,1.720995,,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,9.152406,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/item_only_gate/seed_17
ctdg,lastfm,DyGFormer,normalized_gate,metric_path_normalized_query_item_gate,17,completed,0.461686,0.470616,0.86385,auc,higher,0.785,0.86385,,,,,,,,,,,,,,,1.0,0.0,0.114353,2.374129,,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,9.447868,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/normalized_gate/seed_17
ctdg,lastfm,DyGFormer,attention_adapter,metric_path_attention_reweighting_control,17,completed,0.461686,0.470615,0.86385,auc,higher,0.785,0.86385,,,,,,,,,,,,,,,1.0,0.0,0.114353,2.374128,,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,9.467002,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/attention_adapter/seed_17
ctdg,lastfm,DyGFormer,scalar_gate,metric_path_query_scalar_gate,37,completed,0.495898,0.469398,0.8625,auc,higher,0.7795,0.8625,,,,,,,,,,,,,,,1.0,0.0,0.995949,1.335332,,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,9.157755,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/scalar_gate/seed_37
ctdg,lastfm,DyGFormer,item_only_gate,metric_path_item_only_gate,37,completed,0.499859,0.474485,0.85553,auc,higher,0.775,0.85553,,,,,,,,,,,,,,,1.0,0.0,0.820603,1.411104,,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,9.162572,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/item_only_gate/seed_37
ctdg,lastfm,DyGFormer,normalized_gate,metric_path_normalized_query_item_gate,37,completed,0.484334,0.470609,0.868312,auc,higher,0.77775,0.868312,,,,,,,,,,,,,,,1.0,0.0,0.122426,2.246065,,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,9.478683,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/normalized_gate/seed_37
ctdg,lastfm,DyGFormer,attention_adapter,metric_path_attention_reweighting_control,37,completed,0.484334,0.470609,0.868312,auc,higher,0.77775,0.868312,,,,,,,,,,,,,,,1.0,0.0,0.122426,2.246066,,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,9.494859,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/attention_adapter/seed_37
ctdg,lastfm,DyGFormer,correct_path_warrant,metric_defining_path,7,completed,0.4708,0.479748,0.852099,auc,higher,0.774,0.852099,,,,,,,,,,,,,,,1.0,0.0,0.999981,2.167232,0.850485,0.850484,1e-06,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,11.914798,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/correct_path_warrant/seed_7
ctdg,lastfm,DyGFormer,correct_path_warrant,metric_defining_path,17,completed,0.46541,0.476248,0.8548,auc,higher,0.7775,0.8548,,,,,,,,,,,,,,,1.0,0.0,0.999986,2.030663,0.852049,0.85205,-1e-06,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,10.278149,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/correct_path_warrant/seed_17
ctdg,lastfm,DyGFormer,correct_path_warrant,metric_defining_path,37,completed,0.488527,0.480054,0.859193,auc,higher,0.766,0.859193,,,,,,,,,,,,,,,1.0,0.0,0.999972,2.082843,0.857434,0.857435,-1e-06,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,10.31151,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/correct_path_warrant/seed_37
ctdg,lastfm,DyGFormer,generic_open_path,generic_gate_plus_metric_path_g_equals_one,7,completed,0.463656,0.490278,0.851474,auc,higher,0.76725,0.851474,,,,,,,,,,,,,,,0.889586,9.825928,1.0,2.276823,,,,,4.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,10.849751,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/generic_open_path/seed_7
ctdg,lastfm,DyGFormer,combined_full,generic_gate_plus_metric_path_query_item_gate,7,completed,0.469922,0.478012,0.852954,auc,higher,0.77525,0.852954,,,,,,,,,,,,,,,0.889616,10.09535,0.999981,2.189833,,,,,4.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,9.53668,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/combined_full/seed_7
ctdg,lastfm,DyGFormer,generic_open_path,generic_gate_plus_metric_path_g_equals_one,17,completed,0.468678,0.474018,0.854108,auc,higher,0.77825,0.854108,,,,,,,,,,,,,,,0.889571,10.271653,1.0,1.98128,,,,,4.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,9.172527,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/generic_open_path/seed_17
ctdg,lastfm,DyGFormer,combined_full,generic_gate_plus_metric_path_query_item_gate,17,completed,0.467967,0.473755,0.853668,auc,higher,0.7725,0.853668,,,,,,,,,,,,,,,0.889622,10.641193,0.999986,1.996487,,,,,4.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,9.537582,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/combined_full/seed_17
ctdg,lastfm,DyGFormer,generic_open_path,generic_gate_plus_metric_path_g_equals_one,37,completed,0.494079,0.46246,0.863587,auc,higher,0.78675,0.863587,,,,,,,,,,,,,,,0.889631,10.120543,1.0,2.053256,,,,,4.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,9.188225,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/generic_open_path/seed_37
ctdg,lastfm,DyGFormer,combined_full,generic_gate_plus_metric_path_query_item_gate,37,completed,0.487711,0.467241,0.861189,auc,higher,0.7835,0.861189,,,,,,,,,,,,,,,0.88965,10.82199,0.999974,2.113293,,,,,4.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,9.547969,experiments/path_localization/outputs/ctdg/lastfm/DyGFormer/combined_full/seed_37
