domain,dataset,model,variant,path_role,seed,status,train_loss,eval_loss,primary_metric,metric_name,direction,accuracy,auc,mark_mrr,mrr,support_mrr,support_ap,support_auc,support_attention_mass,distractor_attention_mass,support_attention_ratio,support_warrant_mass,distractor_warrant_mass,support_mass_ratio,joint_nll,mae_time,rmse_location,gate_mean,warrant_logit_mean,edge_warrant_gate_mean,edge_warrant_attention_entropy,warrant_tail_mass_mean,warrant_active_blocks,warrant_replacements,metric_path,key_value_item,failure_bottleneck,warrant_path,elapsed_sec,output_dir,stpp_revisit_rate,stpp_rmse_revisit,stpp_rmse_new_place,stpp_rmse_short_move,stpp_rmse_long_move,stpp_attention_prior_rmse,stpp_warrant_prior_rmse,stpp_prior_rmse_delta,stpp_useful_gate_mean,stpp_nonuseful_gate_mean,stpp_useful_mass_retention,stpp_nonuseful_mass_retention,stpp_false_suppression_index,tkg_true_tail_seen_rate,tkg_mrr_seen,tkg_mrr_unseen,tkg_copy_gate_mean_seen,tkg_copy_gate_mean_unseen,tkg_true_copy_mass_attention,tkg_true_copy_mass_warrant,tkg_false_top_copy_mass_attention,tkg_false_top_copy_mass_warrant,tkg_true_copy_retention,tkg_false_copy_retention,tkg_copy_saturation_attention,tkg_copy_saturation_warrant,checkpoint_path,effective_implementation,copy_gate_mean
stpp,gowalla,DeepSTPP,open_path_no_gate,metric_path_open_g_equals_one,37,completed,7.478969,20.076284,0.08001,rmse_location,lower,0.0,,,,,,,,,,,,,20.076284,0.669368,0.08001,0.172141,0.0,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,9.460425,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/open_path_no_gate/seed_37,0.052961,0.079405,0.080044,0.071919,0.088101,,,,,,,,,,,,,,,,,,,,,,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/open_path_no_gate/seed_37/checkpoint.pt,DeepSTPP,
stpp,gowalla,DeepSTPP,shuffled_pairing,query_item_pairing_control,37,completed,7.478969,22.327669,1.618859,rmse_location,lower,0.0,,,,,,,,,,,,,22.327669,0.763863,1.618859,0.161792,0.471037,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,9.634769,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/shuffled_pairing/seed_37,0.0,,1.618859,0.738028,2.499689,,,,,,,,,,,,,,,,,,,,,,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/shuffled_pairing/seed_37/checkpoint.pt,DeepSTPP,
tkg,icews18,CyGNet,base,no_warrant,7,completed,8.736384,9.407712,0.089469,mrr,higher,0.05375,,,0.089469,,,,,,,,,,,,,1.0,0.0,,,,0.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.920208,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/base/seed_7,,,,,,,,,,,,,,0.283333,0.287657,0.011116,0.999939,0.999932,0.018252,0.018252,0.164964,0.164964,1.0,1.0,8.873009,8.873009,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/base/seed_7/checkpoint.pt,CyGNet,0.999935
tkg,icews18,CyGNet,generic_qk_warrant,weak_path_generic_attention,7,completed,8.80916,9.406279,0.089386,mrr,higher,0.05375,,,0.089386,,,,,,,,,,,,,0.999579,7.966999,,,,1.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.942653,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/generic_qk_warrant/seed_7,,,,,,,,,,,,,,0.283333,0.287246,0.011162,0.999931,0.999923,0.018372,0.018372,0.16931,0.169323,0.999964,1.000077,9.701644,9.704955,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/generic_qk_warrant/seed_7/checkpoint.pt,CyGNet,0.999926
tkg,icews18,CyGNet,open_path_no_gate,metric_path_open_g_equals_one,7,completed,8.736386,9.407711,0.089469,mrr,higher,0.05375,,,0.089469,,,,,,,,,,,,,1.0,0.0,,,,0.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.944329,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/open_path_no_gate/seed_7,,,,,,,,,,,,,,0.283333,0.287657,0.011116,0.999939,0.999932,0.018252,0.018252,0.164964,0.164964,1.0,1.0,8.873004,8.873004,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/open_path_no_gate/seed_7/checkpoint.pt,CyGNet,0.999935
tkg,icews18,CyGNet,correct_path_warrant,metric_defining_path,7,completed,8.80916,9.406279,0.089386,mrr,higher,0.05375,,,0.089386,,,,,,,,,,,,,0.999579,7.967003,,,,1.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.975399,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/correct_path_warrant/seed_7,,,,,,,,,,,,,,0.283333,0.287246,0.011162,0.999931,0.999923,0.018372,0.018372,0.16931,0.169323,0.999964,1.000077,9.70164,9.704951,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/correct_path_warrant/seed_7/checkpoint.pt,CyGNet,0.999926
tkg,icews18,CyGNet,shuffled_pairing,query_item_pairing_control,7,completed,8.80916,9.79107,0.054055,mrr,higher,0.02375,,,0.054055,,,,,,,,,,,,,0.999578,7.963825,,,,1.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.999433,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/shuffled_pairing/seed_7,,,,,,,,,,,,,,0.283333,0.187882,0.001147,0.999927,0.999925,0.013888,0.013889,0.169595,0.169609,0.999967,1.000082,12.519612,12.523771,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/shuffled_pairing/seed_7/checkpoint.pt,CyGNet,0.999926
tkg,icews18,CyGNet,base,no_warrant,17,completed,8.718762,9.450835,0.088546,mrr,higher,0.055,,,0.088546,,,,,,,,,,,,,1.0,0.0,,,,0.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.876427,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/base/seed_17,,,,,,,,,,,,,,0.283333,0.283,0.011669,0.99993,0.999924,0.017263,0.017263,0.152952,0.152952,1.0,1.0,8.139143,8.139143,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/base/seed_17/checkpoint.pt,CyGNet,0.999925
tkg,icews18,CyGNet,generic_qk_warrant,weak_path_generic_attention,17,completed,8.791314,9.455651,0.08753,mrr,higher,0.05375,,,0.08753,,,,,,,,,,,,,0.995262,5.369829,,,,1.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.993456,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/generic_qk_warrant/seed_17,,,,,,,,,,,,,,0.283333,0.279341,0.011698,0.99992,0.999913,0.017208,0.017216,0.153735,0.153857,0.99989,1.00073,8.27234,8.288692,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/generic_qk_warrant/seed_17/checkpoint.pt,CyGNet,0.999914
tkg,icews18,CyGNet,open_path_no_gate,metric_path_open_g_equals_one,17,completed,8.718762,9.450835,0.088546,mrr,higher,0.055,,,0.088546,,,,,,,,,,,,,1.0,0.0,,,,0.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.883414,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/open_path_no_gate/seed_17,,,,,,,,,,,,,,0.283333,0.283,0.011669,0.99993,0.999924,0.017263,0.017263,0.152952,0.152952,1.0,1.0,8.139135,8.139135,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/open_path_no_gate/seed_17/checkpoint.pt,CyGNet,0.999925
tkg,icews18,CyGNet,correct_path_warrant,metric_defining_path,17,completed,8.791314,9.455651,0.08753,mrr,higher,0.05375,,,0.08753,,,,,,,,,,,,,0.995262,5.369838,,,,1.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,6.040303,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/correct_path_warrant/seed_17,,,,,,,,,,,,,,0.283333,0.279341,0.011698,0.99992,0.999913,0.017208,0.017216,0.153735,0.153857,0.99989,1.00073,8.272336,8.288688,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/correct_path_warrant/seed_17/checkpoint.pt,CyGNet,0.999914
tkg,icews18,CyGNet,shuffled_pairing,query_item_pairing_control,17,completed,8.791313,9.92686,0.053115,mrr,higher,0.02375,,,0.053115,,,,,,,,,,,,,0.995262,5.367904,,,,1.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.993059,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/shuffled_pairing/seed_17,,,,,,,,,,,,,,0.283333,0.186363,0.000436,0.999916,0.999915,0.013672,0.013679,0.151988,0.15211,0.999945,1.000791,9.2556,9.275071,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/shuffled_pairing/seed_17/checkpoint.pt,CyGNet,0.999914
tkg,icews18,CyGNet,base,no_warrant,37,completed,8.786199,9.394658,0.088128,mrr,higher,0.0525,,,0.088128,,,,,,,,,,,,,1.0,0.0,,,,0.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.889138,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/base/seed_37,,,,,,,,,,,,,,0.283333,0.281745,0.011581,0.999943,0.999937,0.017316,0.017316,0.151445,0.151445,1.0,1.0,7.267134,7.267134,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/base/seed_37/checkpoint.pt,CyGNet,0.99994
tkg,icews18,CyGNet,generic_qk_warrant,weak_path_generic_attention,37,completed,8.858261,9.392366,0.087716,mrr,higher,0.0525,,,0.087716,,,,,,,,,,,,,0.998848,6.963555,,,,1.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.966338,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/generic_qk_warrant/seed_37,,,,,,,,,,,,,,0.283333,0.280259,0.011595,0.999937,0.999931,0.017464,0.017466,0.155214,0.155263,0.999944,1.000316,7.6129,7.618728,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/generic_qk_warrant/seed_37/checkpoint.pt,CyGNet,0.999934
tkg,icews18,CyGNet,open_path_no_gate,metric_path_open_g_equals_one,37,completed,8.786199,9.394661,0.088128,mrr,higher,0.0525,,,0.088128,,,,,,,,,,,,,1.0,0.0,,,,0.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.890818,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/open_path_no_gate/seed_37,,,,,,,,,,,,,,0.283333,0.281745,0.011581,0.999943,0.999937,0.017316,0.017316,0.151445,0.151445,1.0,1.0,7.267134,7.267134,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/open_path_no_gate/seed_37/checkpoint.pt,CyGNet,0.99994
tkg,icews18,CyGNet,correct_path_warrant,metric_defining_path,37,completed,8.858262,9.392366,0.087716,mrr,higher,0.0525,,,0.087716,,,,,,,,,,,,,0.998848,6.963557,,,,1.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.954173,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/correct_path_warrant/seed_37,,,,,,,,,,,,,,0.283333,0.280259,0.011595,0.999937,0.999931,0.017464,0.017466,0.155214,0.155263,0.999944,1.000316,7.612899,7.618728,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/correct_path_warrant/seed_37/checkpoint.pt,CyGNet,0.999934
tkg,icews18,CyGNet,shuffled_pairing,query_item_pairing_control,37,completed,8.858262,9.81377,0.052789,mrr,higher,0.022917,,,0.052789,,,,,,,,,,,,,0.998851,6.960319,,,,1.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.965064,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/shuffled_pairing/seed_37,,,,,,,,,,,,,,0.283333,0.185328,0.000389,0.999934,0.999932,0.012997,0.013,0.155737,0.155786,0.999986,1.000328,8.915493,8.921914,experiments/negative_row_diagnostics/outputs/tkg/icews18/CyGNet/shuffled_pairing/seed_37/checkpoint.pt,CyGNet,0.999934
stpp,gowalla,DeepSTPP,correct_path_warrant,metric_defining_path,7,completed,7.527442,19.638601,0.034848,rmse_location,lower,0.0,,,,,,,,,,,,,19.638601,0.431559,0.034848,0.153995,0.370433,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,8.551754,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/correct_path_warrant/seed_7,0.052961,0.026522,0.035313,0.035746,0.033949,0.021413,0.021419,6e-06,0.882482,0.610856,0.885375,0.614186,-0.271189,,,,,,,,,,,,,,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/correct_path_warrant/seed_7/checkpoint.pt,DeepSTPP,
stpp,gowalla,DeepSTPP,correct_path_warrant,metric_defining_path,17,completed,7.616779,19.611507,0.043227,rmse_location,lower,0.0,,,,,,,,,,,,,19.611507,0.435912,0.043227,0.155329,0.378296,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,8.34015,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/correct_path_warrant/seed_17,0.052961,0.038584,0.043486,0.038674,0.047779,0.022879,0.022868,-1.1e-05,0.903735,0.624157,0.907867,0.628011,-0.279857,,,,,,,,,,,,,,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/correct_path_warrant/seed_17/checkpoint.pt,DeepSTPP,
stpp,gowalla,DeepSTPP,correct_path_warrant,metric_defining_path,37,completed,7.510151,19.832777,0.053997,rmse_location,lower,0.0,,,,,,,,,,,,,19.832777,0.440196,0.053997,0.159907,0.437276,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,6.456406,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/correct_path_warrant/seed_37,0.052961,0.046941,0.054392,0.049226,0.058768,0.02067,0.020667,-3e-06,0.923201,0.63874,0.924877,0.640499,-0.284378,,,,,,,,,,,,,,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/correct_path_warrant/seed_37/checkpoint.pt,DeepSTPP,
