domain,dataset,model,variant,path_role,seed,status,train_loss,eval_loss,primary_metric,metric_name,direction,accuracy,auc,mark_mrr,mrr,support_mrr,support_ap,support_auc,support_attention_mass,distractor_attention_mass,support_attention_ratio,support_warrant_mass,distractor_warrant_mass,support_mass_ratio,joint_nll,mae_time,rmse_location,gate_mean,warrant_logit_mean,edge_warrant_gate_mean,edge_warrant_attention_entropy,warrant_tail_mass_mean,warrant_active_blocks,warrant_replacements,metric_path,key_value_item,failure_bottleneck,warrant_path,elapsed_sec,output_dir
ctdg,lastfm,DyGFormer,correct_path_warrant,metric_defining_path,37,completed,0.488527,0.480054,0.859193,auc,higher,0.766,0.859193,,,,,,,,,,,,,,,1.0,0.0,0.999972,2.082843,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,9.501271,experiments/warrant_need_score/outputs/ctdg/lastfm/DyGFormer/correct_path_warrant/seed_37
ctdg,lastfm,DyGFormer,shuffled_pairing,query_item_pairing_control,37,completed,0.488527,0.654946,0.697546,auc,higher,0.6265,0.697546,,,,,,,,,,,,,,,1.0,0.0,0.999971,2.08766,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,111.036338,experiments/warrant_need_score/outputs/ctdg/lastfm/DyGFormer/shuffled_pairing/seed_37
mtpp,retweets,AttNHP,base,no_warrant,7,completed,95.439761,40.945385,0.755474,mark_mrr,higher,0.533658,,0.755474,,,,,,,,,,,,4008.518367,,1.0,0.0,,,,0.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,34.326482,experiments/warrant_need_score/outputs/mtpp/retweets/AttNHP/base/seed_7
mtpp,retweets,AttNHP,generic_qk_warrant,weak_path_generic_attention,7,completed,95.50292,41.007889,0.77129,mark_mrr,higher,0.564477,,0.77129,,,,,,,,,,,,4015.373153,,0.015299,0.040203,,,,2.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,222.952998,experiments/warrant_need_score/outputs/mtpp/retweets/AttNHP/generic_qk_warrant/seed_7
mtpp,retweets,AttNHP,correct_path_warrant,metric_defining_path,7,completed,95.503222,41.007824,0.771019,mark_mrr,higher,0.564477,,0.771019,,,,,,,,,,,,4015.16846,,0.108927,0.333061,,,,1.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,3.727803,experiments/warrant_need_score/outputs/mtpp/retweets/AttNHP/correct_path_warrant/seed_7
mtpp,retweets,AttNHP,shuffled_pairing,query_item_pairing_control,7,completed,95.503222,41.091667,0.721276,mark_mrr,higher,0.469586,,0.721276,,,,,,,,,,,,4015.131705,,0.108927,0.333061,,,,1.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,2.836003,experiments/warrant_need_score/outputs/mtpp/retweets/AttNHP/shuffled_pairing/seed_7
mtpp,retweets,AttNHP,base,no_warrant,17,completed,97.641792,40.948689,0.770749,mark_mrr,higher,0.566099,,0.770749,,,,,,,,,,,,4008.941654,,1.0,0.0,,,,0.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,2.787868,experiments/warrant_need_score/outputs/mtpp/retweets/AttNHP/base/seed_17
mtpp,retweets,AttNHP,generic_qk_warrant,weak_path_generic_attention,17,completed,97.591878,40.895267,0.768451,mark_mrr,higher,0.561233,,0.768451,,,,,,,,,,,,4003.445421,,0.015466,0.042449,,,,2.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,5.118723,experiments/warrant_need_score/outputs/mtpp/retweets/AttNHP/generic_qk_warrant/seed_17
mtpp,retweets,AttNHP,correct_path_warrant,metric_defining_path,17,completed,97.589409,40.894917,0.769262,mark_mrr,higher,0.562855,,0.769262,,,,,,,,,,,,4003.406892,,0.109298,0.341005,,,,1.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,253.193957,experiments/warrant_need_score/outputs/mtpp/retweets/AttNHP/correct_path_warrant/seed_17
mtpp,retweets,AttNHP,shuffled_pairing,query_item_pairing_control,17,completed,97.589409,40.956169,0.721952,mark_mrr,higher,0.473642,,0.721952,,,,,,,,,,,,4003.442858,,0.109298,0.341005,,,,1.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,15.114887,experiments/warrant_need_score/outputs/mtpp/retweets/AttNHP/shuffled_pairing/seed_17
mtpp,retweets,AttNHP,base,no_warrant,37,completed,97.471934,40.964233,0.763179,mark_mrr,higher,0.553122,,0.763179,,,,,,,,,,,,4010.259273,,1.0,0.0,,,,0.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,2.707356,experiments/warrant_need_score/outputs/mtpp/retweets/AttNHP/base/seed_37
mtpp,retweets,AttNHP,generic_qk_warrant,weak_path_generic_attention,37,completed,97.42216,40.909702,0.765207,mark_mrr,higher,0.556367,,0.765207,,,,,,,,,,,,4004.952183,,0.015935,0.051934,,,,2.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,5.043915,experiments/warrant_need_score/outputs/mtpp/retweets/AttNHP/generic_qk_warrant/seed_37
mtpp,retweets,AttNHP,correct_path_warrant,metric_defining_path,37,completed,97.389915,40.896488,0.746283,mark_mrr,higher,0.517437,,0.746283,,,,,,,,,,,,4002.170718,,0.110108,0.361548,,,,1.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,2.882209,experiments/warrant_need_score/outputs/mtpp/retweets/AttNHP/correct_path_warrant/seed_37
mtpp,retweets,AttNHP,shuffled_pairing,query_item_pairing_control,37,completed,97.389915,40.976746,0.729927,mark_mrr,higher,0.493917,,0.729927,,,,,,,,,,,,4002.492747,,0.110108,0.361548,,,,1.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,3.003068,experiments/warrant_need_score/outputs/mtpp/retweets/AttNHP/shuffled_pairing/seed_37
rag,hotpotqa,FiD,base,no_warrant,7,completed,0.807573,2.302574,0.557562,support_mrr,higher,,,,,0.557562,0.543397,0.560006,0.25046,0.74954,0.25046,0.25046,0.74954,0.25046,,,,1.0,0.0,,,,0.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,76.952153,experiments/warrant_need_score/outputs/rag/hotpotqa/FiD/base/seed_7
rag,hotpotqa,FiD,generic_qk_warrant,weak_path_generic_attention,7,completed,0.807542,2.303742,0.558031,support_mrr,higher,,,,,0.558031,0.543792,0.560108,0.250136,0.749864,0.250136,0.229795,0.686444,0.250925,,,,0.89595,0.860097,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,76.809821,experiments/warrant_need_score/outputs/rag/hotpotqa/FiD/generic_qk_warrant/seed_7
rag,hotpotqa,FiD,correct_path_warrant,metric_defining_path,7,completed,0.807976,2.304843,0.559334,support_mrr,higher,,,,,0.559334,0.544759,0.560394,0.250775,0.749225,0.250775,0.22956,0.68233,0.251836,,,,0.891566,0.788874,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,76.925624,experiments/warrant_need_score/outputs/rag/hotpotqa/FiD/correct_path_warrant/seed_7
rag,hotpotqa,FiD,shuffled_pairing,query_item_pairing_control,7,completed,0.807976,2.306197,0.559068,support_mrr,higher,,,,,0.559068,0.544252,0.560377,0.250775,0.749225,0.250775,0.22956,0.68233,0.251836,,,,0.891566,0.788874,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,77.358571,experiments/warrant_need_score/outputs/rag/hotpotqa/FiD/shuffled_pairing/seed_7
rag,hotpotqa,FiD,base,no_warrant,17,completed,0.773178,2.380105,0.544511,support_mrr,higher,,,,,0.544511,0.53109,0.545136,0.256247,0.743753,0.256247,0.256247,0.743753,0.256247,,,,1.0,0.0,,,,0.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,77.017373,experiments/warrant_need_score/outputs/rag/hotpotqa/FiD/base/seed_17
rag,hotpotqa,FiD,generic_qk_warrant,weak_path_generic_attention,17,completed,0.773829,2.379912,0.543363,support_mrr,higher,,,,,0.543363,0.529972,0.545291,0.255538,0.744462,0.255538,0.238609,0.691704,0.256497,,,,0.927202,1.342542,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,76.711133,experiments/warrant_need_score/outputs/rag/hotpotqa/FiD/generic_qk_warrant/seed_17
rag,hotpotqa,FiD,correct_path_warrant,metric_defining_path,17,completed,0.773962,2.37775,0.543241,support_mrr,higher,,,,,0.543241,0.530094,0.545271,0.256456,0.743544,0.256456,0.238895,0.689064,0.257474,,,,0.924128,1.291102,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,76.858418,experiments/warrant_need_score/outputs/rag/hotpotqa/FiD/correct_path_warrant/seed_17
rag,hotpotqa,FiD,shuffled_pairing,query_item_pairing_control,17,completed,0.773962,2.377726,0.543843,support_mrr,higher,,,,,0.543843,0.53033,0.54528,0.256456,0.743544,0.256456,0.238895,0.689064,0.257474,,,,0.924128,1.291102,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,76.584523,experiments/warrant_need_score/outputs/rag/hotpotqa/FiD/shuffled_pairing/seed_17
rag,hotpotqa,FiD,base,no_warrant,37,completed,0.806745,2.263685,0.566532,support_mrr,higher,,,,,0.566532,0.54937,0.5578,0.256876,0.743124,0.256876,0.256876,0.743124,0.256876,,,,1.0,0.0,,,,0.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,76.825984,experiments/warrant_need_score/outputs/rag/hotpotqa/FiD/base/seed_37
rag,hotpotqa,FiD,generic_qk_warrant,weak_path_generic_attention,37,completed,0.806752,2.262616,0.568119,support_mrr,higher,,,,,0.568119,0.550907,0.557914,0.257145,0.742855,0.257145,0.240401,0.690805,0.258157,,,,0.914697,1.134662,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,77.167216,experiments/warrant_need_score/outputs/rag/hotpotqa/FiD/generic_qk_warrant/seed_37
rag,hotpotqa,FiD,correct_path_warrant,metric_defining_path,37,completed,0.806678,2.260123,0.567276,support_mrr,higher,,,,,0.567276,0.550157,0.55793,0.258396,0.741604,0.258396,0.241368,0.688797,0.259484,,,,0.912241,1.099551,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,76.942223,experiments/warrant_need_score/outputs/rag/hotpotqa/FiD/correct_path_warrant/seed_37
rag,hotpotqa,FiD,shuffled_pairing,query_item_pairing_control,37,completed,0.806678,2.260767,0.568243,support_mrr,higher,,,,,0.568243,0.550816,0.557898,0.258396,0.741604,0.258396,0.241368,0.688797,0.259484,,,,0.912241,1.099551,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,76.62495,experiments/warrant_need_score/outputs/rag/hotpotqa/FiD/shuffled_pairing/seed_37
stpp,earthquake,DeepSTPP,base,no_warrant,7,completed,3.393997,9.582046,2.251913,rmse_location,lower,,,,,,,,,,,,,,9.582046,0.243656,2.251913,1.0,0.0,,,,0.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,2.39882,experiments/warrant_need_score/outputs/stpp/earthquake/DeepSTPP/base/seed_7
stpp,earthquake,DeepSTPP,generic_qk_warrant,weak_path_generic_attention,7,completed,3.39346,9.491029,2.225269,rmse_location,lower,,,,,,,,,,,,,,9.491029,0.283405,2.225269,0.476667,1.451752,,,,2.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,6.103647,experiments/warrant_need_score/outputs/stpp/earthquake/DeepSTPP/generic_qk_warrant/seed_7
stpp,earthquake,DeepSTPP,correct_path_warrant,metric_defining_path,7,completed,3.393231,9.541882,2.23224,rmse_location,lower,,,,,,,,,,,,,,9.541882,0.264236,2.23224,0.94338,2.974761,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,2.417118,experiments/warrant_need_score/outputs/stpp/earthquake/DeepSTPP/correct_path_warrant/seed_7
stpp,earthquake,DeepSTPP,shuffled_pairing,query_item_pairing_control,7,completed,3.393231,10.906652,3.078228,rmse_location,lower,,,,,,,,,,,,,,10.906652,0.267148,3.078228,0.94338,2.974761,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,2.432511,experiments/warrant_need_score/outputs/stpp/earthquake/DeepSTPP/shuffled_pairing/seed_7
stpp,earthquake,DeepSTPP,base,no_warrant,17,completed,3.392698,9.449812,2.231431,rmse_location,lower,,,,,,,,,,,,,,9.449812,0.22022,2.231431,1.0,0.0,,,,0.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,2.312228,experiments/warrant_need_score/outputs/stpp/earthquake/DeepSTPP/base/seed_17
stpp,earthquake,DeepSTPP,generic_qk_warrant,weak_path_generic_attention,17,completed,3.394399,9.516842,2.249124,rmse_location,lower,,,,,,,,,,,,,,9.516842,0.252931,2.249124,0.476543,1.449116,,,,2.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,6.108513,experiments/warrant_need_score/outputs/stpp/earthquake/DeepSTPP/generic_qk_warrant/seed_17
stpp,earthquake,DeepSTPP,correct_path_warrant,metric_defining_path,17,completed,3.392405,9.477701,2.237763,rmse_location,lower,,,,,,,,,,,,,,9.477701,0.243018,2.237763,0.942834,2.957139,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,2.40486,experiments/warrant_need_score/outputs/stpp/earthquake/DeepSTPP/correct_path_warrant/seed_17
stpp,earthquake,DeepSTPP,shuffled_pairing,query_item_pairing_control,17,completed,3.392405,10.786755,3.048038,rmse_location,lower,,,,,,,,,,,,,,10.786755,0.24515,3.048038,0.942834,2.957139,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,2.412326,experiments/warrant_need_score/outputs/stpp/earthquake/DeepSTPP/shuffled_pairing/seed_17
stpp,earthquake,DeepSTPP,base,no_warrant,37,completed,3.390082,9.410343,2.241065,rmse_location,lower,,,,,,,,,,,,,,9.410343,0.227575,2.241065,1.0,0.0,,,,0.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,2.338525,experiments/warrant_need_score/outputs/stpp/earthquake/DeepSTPP/base/seed_37
stpp,earthquake,DeepSTPP,generic_qk_warrant,weak_path_generic_attention,37,completed,3.390825,9.481887,2.20515,rmse_location,lower,,,,,,,,,,,,,,9.481887,0.270744,2.20515,0.476756,1.453662,,,,2.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,6.101387,experiments/warrant_need_score/outputs/stpp/earthquake/DeepSTPP/generic_qk_warrant/seed_37
stpp,earthquake,DeepSTPP,correct_path_warrant,metric_defining_path,37,completed,3.39216,9.56952,2.204471,rmse_location,lower,,,,,,,,,,,,,,9.56952,0.249,2.204471,0.945214,3.021873,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,2.436266,experiments/warrant_need_score/outputs/stpp/earthquake/DeepSTPP/correct_path_warrant/seed_37
stpp,earthquake,DeepSTPP,shuffled_pairing,query_item_pairing_control,37,completed,3.39216,11.029075,3.118722,rmse_location,lower,,,,,,,,,,,,,,11.029075,0.248614,3.118722,0.945214,3.021874,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,2.405196,experiments/warrant_need_score/outputs/stpp/earthquake/DeepSTPP/shuffled_pairing/seed_37
tkg,gdelt,xERTE,base,no_warrant,7,completed,9.426107,9.573122,0.048807,mrr,higher,0.039,,,0.048807,,,,,,,,,,,,,1.0,0.0,,,0.0,0.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.882098,experiments/warrant_need_score/outputs/tkg/gdelt/xERTE/base/seed_7
tkg,gdelt,xERTE,generic_qk_warrant,weak_path_generic_attention,7,completed,9.425895,9.573485,0.049191,mrr,higher,0.0395,,,0.049191,,,,,,,,,,,,,0.954263,2.677273,,,0.0,2.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.514534,experiments/warrant_need_score/outputs/tkg/gdelt/xERTE/generic_qk_warrant/seed_7
tkg,gdelt,xERTE,open_path_no_gate,metric_path_open_g_equals_one,7,completed,8.330027,8.721527,0.116489,mrr,higher,0.081,,,0.116489,,,,,,,,,,,,,1.0,0.0,,,1.0,0.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.398173,experiments/warrant_need_score/outputs/tkg/gdelt/xERTE/open_path_no_gate/seed_7
tkg,gdelt,xERTE,correct_path_warrant,metric_defining_path,7,completed,8.417494,8.711327,0.11752,mrr,higher,0.0835,,,0.11752,,,,,,,,,,,,,0.971151,3.50581,,,1.0,2.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.389102,experiments/warrant_need_score/outputs/tkg/gdelt/xERTE/correct_path_warrant/seed_7
tkg,gdelt,xERTE,shuffled_pairing,query_item_pairing_control,7,completed,8.417494,8.745718,0.115645,mrr,higher,0.0825,,,0.115645,,,,,,,,,,,,,0.971116,3.503139,,,1.0,2.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.400229,experiments/warrant_need_score/outputs/tkg/gdelt/xERTE/shuffled_pairing/seed_7
tkg,gdelt,xERTE,base,no_warrant,17,completed,9.28597,9.345239,0.065319,mrr,higher,0.0575,,,0.065319,,,,,,,,,,,,,1.0,0.0,,,0.0,0.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.246194,experiments/warrant_need_score/outputs/tkg/gdelt/xERTE/base/seed_17
tkg,gdelt,xERTE,generic_qk_warrant,weak_path_generic_attention,17,completed,9.287786,9.345448,0.065294,mrr,higher,0.0575,,,0.065294,,,,,,,,,,,,,0.981713,5.205433,,,0.0,2.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.360884,experiments/warrant_need_score/outputs/tkg/gdelt/xERTE/generic_qk_warrant/seed_17
tkg,gdelt,xERTE,open_path_no_gate,metric_path_open_g_equals_one,17,completed,8.251208,8.591119,0.117281,mrr,higher,0.081,,,0.117281,,,,,,,,,,,,,1.0,0.0,,,1.0,0.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.338724,experiments/warrant_need_score/outputs/tkg/gdelt/xERTE/open_path_no_gate/seed_17
tkg,gdelt,xERTE,correct_path_warrant,metric_defining_path,17,completed,8.344945,8.586301,0.118454,mrr,higher,0.083,,,0.118454,,,,,,,,,,,,,0.981013,6.295847,,,1.0,2.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.393478,experiments/warrant_need_score/outputs/tkg/gdelt/xERTE/correct_path_warrant/seed_17
tkg,gdelt,xERTE,shuffled_pairing,query_item_pairing_control,17,completed,8.344945,8.719962,0.114725,mrr,higher,0.081,,,0.114725,,,,,,,,,,,,,0.981,6.289431,,,1.0,2.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.409334,experiments/warrant_need_score/outputs/tkg/gdelt/xERTE/shuffled_pairing/seed_17
tkg,gdelt,xERTE,base,no_warrant,37,completed,9.338168,9.495522,0.072675,mrr,higher,0.0685,,,0.072675,,,,,,,,,,,,,1.0,0.0,,,0.0,0.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.498835,experiments/warrant_need_score/outputs/tkg/gdelt/xERTE/base/seed_37
